"name","value"
"CloudAutomation|CustomProperties","[{""category"":""BlueprintID"",""name"":""null""},{""category"":""CloudZoneID"",""name"":""null""},{""category"":""ProjectID"",""name"":""2912c992-ae7a-42bd-9efa-ed604870981b""},{""category"":""areVMActionsDisabled"",""name"":""false""},{""category"":""coreCount"",""name"":""1""},{""category"":""datacenter"",""name"":""Datacenter:datacenter-3""},{""category"":""datastoreName"",""name"":""ESX-04-2TB-01""},{""category"":""endpointId"",""name"":""cf39be6e-7fbe-4c96-8b68-829921c086e6""},{""category"":""environmentName"",""name"":""On premise""},{""category"":""externalId"",""name"":""50136466-3537-3a90-e88b-00fc78855b6d""},{""category"":""hasSnapshots"",""name"":""false""},{""category"":""hostName"",""name"":""DC-02.vcrocs.local""},{""category"":""instanceUUID"",""name"":""50136466-3537-3a90-e88b-00fc78855b6d""},{""category"":""memoryGB"",""name"":""4""},{""category"":""moref"",""name"":""VirtualMachine:vm-34001""},{""category"":""providerId"",""name"":""50136466-3537-3a90-e88b-00fc78855b6d""},{""category"":""resourceId"",""name"":""57afcd95-5644-3c03-9275-1090d123df18""},{""category"":""snapshotCount"",""name"":""0""},{""category"":""vmFolderPath"",""name"":""[ESX-04-2TB-01] DC-02""},{""category"":""zone"",""name"":""Cluster-03-VCF""},{""category"":""Guest OS"",""name"":""Microsoft Windows Server 2019 (64-bit)""}]"
"config|boot_options_efi_secure_boot_enabled","true"
"config|cpuAllocation|limit","-1.0"
"config|cpuAllocation|reservation","0.0"
"config|cpuAllocation|shares|shares","4000.0"
"config|createDate","1.734700425001E12"
"config|disk_consolidation_needed","false"
"config|extraConfig|mem_hotadd","false"
"config|extraConfig|mem_tps_share","false"
"config|extraConfig|vcpu_hotadd","false"
"config|extraConfig|vcpu_hotremove","false"
"config|guestFullName","Microsoft Windows Server 2019 (64-bit)"
"config|hardware|diskSpace","20.0"
"config|hardware|memoryKB","4194304.0"
"config|hardware|numCoresPerSocket","1.0"
"config|hardware|numCpu","4.0"
"config|hardware|numSockets","4.0"
"config|memoryAllocation|limit","-1.0"
"config|memoryAllocation|reservation","0.0"
"config|memoryAllocation|shares|shares","40960.0"
"config|migrateEncryption","opportunistic"
"config|name","DC-02"
"config|numRDMs","0.0"
"config|numVMDKs","1.0"
"config|numVMDKsOnly","1.0"
"config|security|disable_console_copy","true"
"config|security|disable_console_dnd","true"
"config|security|disable_console_paste","true"
"config|security|disable_device_interaction_connect","none"
"config|security|disable_disk_shrinking_shrink","true"
"config|security|disable_disk_shrinking_wiper","true"
"config|security|disable_hgfs","none"
"config|security|disable_independent_nonpersistent","true"
"config|security|disable_unexposed_features_autologon","none"
"config|security|disable_unexposed_features_launchmenu","true"
"config|security|disable_unexposed_features_memsfss","true"
"config|security|disable_unexposed_features_protocolhandler","none"
"config|security|disable_unexposed_features_shellaction","none"
"config|security|disable_unexposed_features_trayicon","none"
"config|security|disable_unexposed_features_unity","none"
"config|security|disable_unexposed_features_unity_interlock","none"
"config|security|disable_unexposed_features_unity_taskbar","none"
"config|security|disable_unexposed_features_unity_unityactive","none"
"config|security|disable_unexposed_features_unity_windowcontents","none"
"config|security|disable_unexposed_features_unitypush","none"
"config|security|disable_unexposed_features_versionget","true"
"config|security|disable_unexposed_features_versionset","true"
"config|security|disconnect_devices_cd","true"
"config|security|disconnect_devices_floppy","true"
"config|security|disconnect_devices_parallel","true"
"config|security|disconnect_devices_serial","true"
"config|security|disconnect_devices_usb","false"
"config|security|disconnect_devices_virtualahcicontroller","false"
"config|security|disconnect_devices_virtualensoniq1371","true"
"config|security|disconnect_devices_virtualhdaudiocard","true"
"config|security|enable_console_gui_options","false"
"config|security|enable_console_VNC","false"
"config|security|enable_host_info","false"
"config|security|enable_non_essential_3D_features","false"
"config|security|enable_vga_only_mode","false"
"config|security|limit_console_connection","-1.0"
"config|security|limit_setinfo_size","1048576.0"
"config|security|network_filter_enable","false"
"config|security|tools_guest_desktop_autolock","true"
"config|security|vmsafe_cpumem_agentaddress","none"
"config|security|vmsafe_cpumem_agentport","none"
"config|security|vmsafe_cpumem_enable","false"
"config|version","vmx-21"
"cpu|limit","-1.0"
"cpu|reservation","0.0"
"cpu|speed","1.1980800008E10"
"CustomProperty|vROps Instance","Silas"
"diskspace|snapshot|snapshotAge","-1.0"
"Guest OS Services|AuthenticationStatus","Unavailable"
"Guest OS Services|DiscoveryMethod","Credential-less via NDB"
"Guest OS Services|InboundPorts","[464, 49681, 3268, 49668, 389, 3269, 88, 57752, 636, 49678, 49679]"
"Guest OS Services|ServiceDiscoveryStatus","Success"
"mem|guestOSMemNotCollecting","0.0"
"mem|host_limit","-1.0"
"net:4000|ip_address","192.168.6.2"
"net:4000|mac_address","00:50:56:93:ea:7f"
"runtime|memoryCap","4194304.0"
"SRM Info|ProtectionGroup","N/A"
"SRM Info|RecoveryPlans","N/A"
"summary|config|isSrmPlaceholder","false"
